Lat, Lon
7.209400, 93.704077
7.208090, 93.699127
7.208757, 93.697489
7.212112, 93.695164
7.223740, 93.691891
7.230383, 93.690247
7.232681, 93.693232
7.231010, 93.695526
7.226681, 93.697823
7.218693, 93.703747
7.214373, 93.704401
7.209400, 93.704077
NaN, NaN
7.239147, 93.831116
7.234695, 93.827627
7.232536, 93.827801
7.227373, 93.828602
7.218412, 93.830406
7.217422, 93.831898
7.216230, 93.836998
7.218817, 93.843931
7.219126, 93.848377
7.215778, 93.853304
7.209427, 93.858387
7.205589, 93.861361
7.199299, 93.861162
7.191324, 93.861143
7.186676, 93.863113
7.176245, 93.860945
7.170921, 93.862265
7.163918, 93.866695
7.155447, 93.869621
7.146822, 93.869106
7.139896, 93.865793
7.133738, 93.866278
7.129234, 93.870554
7.123425, 93.873329
7.116306, 93.871824
7.109201, 93.868198
7.103390, 93.868341
7.092234, 93.872753
7.088083, 93.874891
7.084406, 93.878508
7.083364, 93.884405
7.082840, 93.887541
7.080011, 93.889832
7.074701, 93.892300
7.067381, 93.893927
7.061737, 93.895889
7.053564, 93.901955
7.049240, 93.903412
7.042471, 93.901585
7.036654, 93.902218
7.028358, 93.903841
7.026690, 93.905325
7.028477, 93.909281
7.029789, 93.912905
7.028101, 93.917025
7.024263, 93.920465
7.015478, 93.923725
7.013798, 93.927008
7.012104, 93.931782
7.007429, 93.935053
7.006140, 93.937307
7.000525, 93.938726
6.995300, 93.939146
6.992605, 93.938501
6.986771, 93.938686
6.982601, 93.938271
6.980536, 93.935360
6.986835, 93.930225
6.994362, 93.925287
7.000191, 93.925711
7.007496, 93.926004
7.010841, 93.921730
7.012047, 93.915155
7.010624, 93.908075
7.006163, 93.903938
7.000027, 93.904762
6.999226, 93.902777
6.998432, 93.896368
6.995499, 93.890757
6.993155, 93.891903
6.994438, 93.899652
6.995375, 93.908035
6.993334, 93.913794
6.988503, 93.916576
6.980875, 93.917206
6.974743, 93.917843
6.973721, 93.921127
6.971540, 93.924404
6.967249, 93.924894
6.964743, 93.926365
6.963388, 93.931301
6.960526, 93.935070
6.957403, 93.933582
6.955088, 93.930775
6.954794, 93.927832
6.956656, 93.921412
6.953152, 93.919621
6.948997, 93.916933
6.947365, 93.913826
6.943197, 93.912973
6.940268, 93.913397
6.934202, 93.917297
6.930471, 93.916046
6.930073, 93.911293
6.932821, 93.907789
6.933451, 93.905519
6.933441, 93.900787
6.927818, 93.900274
6.921844, 93.901411
6.915386, 93.900740
6.913942, 93.896147
6.913664, 93.887922
6.908367, 93.886271
6.903395, 93.886911
6.897774, 93.886240
6.885180, 93.887356
6.879026, 93.888168
6.873114, 93.884190
6.867996, 93.879910
6.862867, 93.880228
6.853575, 93.882839
6.849249, 93.885275
6.847864, 93.891537
6.843542, 93.896605
6.835726, 93.898903
6.829479, 93.894272
6.824188, 93.892118
6.816584, 93.890455
6.812307, 93.885857
6.812023, 93.881397
6.809885, 93.879278
6.805578, 93.879091
6.800776, 93.878586
6.799303, 93.875154
6.803129, 93.872692
6.810278, 93.868778
6.816957, 93.860085
6.820660, 93.852869
6.828136, 93.850103
6.829308, 93.848280
6.828505, 93.842545
6.826052, 93.840061
6.823875, 93.843678
6.820215, 93.844976
6.816589, 93.841520
6.809832, 93.838383
6.798409, 93.838041
6.788977, 93.838017
6.782692, 93.835369
6.779097, 93.830599
6.772154, 93.828287
6.766375, 93.825148
6.760914, 93.824823
6.760443, 93.820366
6.762644, 93.813799
6.762678, 93.808390
6.764692, 93.805286
6.768682, 93.801826
6.771706, 93.797066
6.775337, 93.796600
6.781935, 93.799726
6.784746, 93.803188
6.789040, 93.801870
6.794199, 93.799742
6.797667, 93.799749
6.798483, 93.803040
6.800121, 93.805677
6.801928, 93.806671
6.804090, 93.805521
6.804760, 93.803545
6.805437, 93.800919
6.808439, 93.799459
6.811909, 93.799131
6.812227, 93.802570
6.815693, 93.802855
6.817781, 93.802452
6.821533, 93.800814
6.826151, 93.798506
6.818541, 93.797346
6.817089, 93.794052
6.818926, 93.790596
6.824413, 93.787003
6.830397, 93.784048
6.833244, 93.777975
6.836256, 93.775354
6.839855, 93.776550
6.848282, 93.774754
6.847767, 93.777283
6.848803, 93.781292
6.851721, 93.789349
6.854017, 93.791811
6.855865, 93.790169
6.857693, 93.788216
6.857382, 93.783785
6.859909, 93.778187
6.859426, 93.775883
6.858952, 93.772102
6.861471, 93.768482
6.865294, 93.766380
6.867785, 93.763254
6.871292, 93.760782
6.874260, 93.761446
6.877068, 93.762278
6.879570, 93.760977
6.881536, 93.761951
6.883356, 93.764585
6.884125, 93.772303
6.881445, 93.776579
6.882420, 93.779713
6.885406, 93.780867
6.887747, 93.776926
6.889927, 93.772997
6.890608, 93.769369
6.892920, 93.769539
6.895561, 93.771517
6.898399, 93.771027
6.903687, 93.770723
6.905199, 93.768251
6.902395, 93.766787
6.898932, 93.765448
6.901619, 93.760677
6.903957, 93.756430
6.909754, 93.754457
6.913908, 93.753967
6.919388, 93.751995
6.921400, 93.749390
6.919086, 93.745760
6.915638, 93.741976
6.916819, 93.738529
6.920296, 93.737213
6.926464, 93.733770
6.932922, 93.731487
6.936918, 93.730661
6.936705, 93.735931
6.938023, 93.739374
6.943333, 93.739384
6.944994, 93.738235
6.948473, 93.736603
6.952284, 93.737257
6.954266, 93.739244
6.957079, 93.739073
6.959730, 93.736284
6.962574, 93.734816
6.966543, 93.735325
6.968548, 93.733841
6.969547, 93.729895
6.965935, 93.727076
6.967928, 93.724285
6.971569, 93.725939
6.973228, 93.725286
6.973745, 93.722498
6.973915, 93.720516
6.976418, 93.719702
6.983356, 93.720390
6.985853, 93.720217
6.990509, 93.715961
6.993010, 93.714983
6.991837, 93.717611
6.990316, 93.721546
6.992130, 93.721865
6.994139, 93.719738
6.997484, 93.714643
7.000818, 93.710707
6.999191, 93.705433
6.997080, 93.698355
6.996948, 93.693764
6.998924, 93.693274
7.002573, 93.694269
7.006227, 93.694092
7.007545, 93.693777
7.011206, 93.692299
7.016214, 93.685879
7.020075, 93.677998
7.020613, 93.670742
7.017815, 93.667946
7.012356, 93.666294
7.006903, 93.663185
7.004925, 93.659708
7.006763, 93.656109
7.009769, 93.653793
7.013235, 93.655125
7.017021, 93.659908
